bundle,feature_count,c_value,threshold,n,positive_n,prevalence,auroc,auprc,auprc_lift,recall,specificity,precision,f1,brier,predicted_positive_rate,tn,fp,fn,tp,constraints_passed,null_probability_train_prevalence,null_model_brier,brier_skill_score
core_8_plus_health_history,12,0.1,0.4693927984852343,36273,917,0.025280511675350812,0.6275647062321575,0.04020323351355401,1.5902855934974314,0.6793893129770993,0.5046385337707886,0.03434967194133539,0.0653930933137399,0.23672768082700435,0.5000137843575111,17842,17514,294,623,True,0.025280511675350812,0.024641407404783267,-8.60690584503919
core_8_plus_health_history,12,1.0,0.4693422240283622,36273,917,0.025280511675350812,0.6275524920968992,0.040201237163698625,1.590206625560349,0.6793893129770993,0.5046385337707886,0.03434967194133539,0.0653930933137399,0.23672932523902893,0.5000137843575111,17842,17514,294,623,True,0.025280511675350812,0.024641407404783267,-8.606972578728445
core_8_plus_health_history,12,10.0,0.46935356606734396,36273,917,0.025280511675350812,0.6275515050960704,0.04020107065506161,1.5902000391178295,0.6793893129770993,0.5046385337707886,0.03434967194133539,0.0653930933137399,0.23672949616273362,0.5000137843575111,17842,17514,294,623,True,0.025280511675350812,0.024641407404783267,-8.60697951517091
core_8_plus_meal_history,12,0.01,0.4714533939711683,36273,917,0.025280511675350812,0.6259308497349224,0.04006852573646641,1.5849570709256773,0.6815703380588877,0.5046951012557982,0.034459943761371785,0.06560302298729925,0.23700876048514655,0.5000137843575111,17844,17512,292,625,True,0.025280511675350812,0.024641407404783267,-8.618312647155843
core_8_plus_meal_history,12,0.1,0.47112503430625585,36273,917,0.025280511675350812,0.6257016804799489,0.03998562696705065,1.5816779138231496,0.6826608505997819,0.5047233849983029,0.034515079671389975,0.06570798782407894,0.23702670373963733,0.5000137843575111,17845,17511,291,626,True,0.025280511675350812,0.024641407404783267,-8.61904082206063
core_8_plus_meal_history,12,1.0,0.4710528971718884,36273,917,0.025280511675350812,0.625671453579562,0.03997302786273402,1.5811795416193577,0.6826608505997819,0.5047233849983029,0.034515079671389975,0.06570798782407894,0.23703110140298467,0.5000137843575111,17845,17511,291,626,True,0.025280511675350812,0.024641407404783267,-8.61921928846375
core_8_plus_meal_history,12,10.0,0.4710319125280219,36273,917,0.025280511675350812,0.6256695104216801,0.03997174848593733,1.581128934384302,0.6826608505997819,0.5047233849983029,0.034515079671389975,0.06570798782407894,0.23703155929774242,0.5000137843575111,17845,17511,291,626,True,0.025280511675350812,0.024641407404783267,-8.619237870793494
core_8_plus_behavior_history,16,0.01,0.4687032158257195,36273,917,0.025280511675350812,0.6281866401295044,0.04057250099909721,1.6048923977538203,0.6848418756815703,0.5047799524833126,0.034625351491426364,0.0659179174976383,0.23589661034959053,0.5000137843575111,17847,17509,289,628,True,0.025280511675350812,0.024641407404783267,-8.5731792618225
core_8_plus_behavior_history,16,0.1,0.46813815507646156,36273,917,0.025280511675350812,0.6275713993315291,0.04057500882069018,1.6049915975495037,0.6837513631406761,0.5047516687408078,0.03457021558140817,0.06581295266085861,0.235989073485162,0.5000137843575111,17846,17510,290,627,True,0.025280511675350812,0.024641407404783267,-8.576931609813528
core_8_plus_behavior_history,16,1.0,0.467906869048443,36273,917,0.025280511675350812,0.6274611636764449,0.04066379984436479,1.6085038296124796,0.6837513631406761,0.5047516687408078,0.03457021558140817,0.06581295266085861,0.23598632978603257,0.5000137843575111,17846,17510,290,627,True,0.025280511675350812,0.024641407404783267,-8.576820264747706
